date,C,C#,C++,CSS,HTML,Java,JavaScript,Others,PHP,Python,Ruby,TypeScript
2008,875,134,508,80,123,555,1846,7184,720,1398,7516,2
2009,3738,1139,2447,256,431,3653,7246,33883,3996,7047,16168,8
2010,8694,3435,5808,612,1002,12435,20035,76856,12181,15996,27246,40
2011,18897,8733,15402,2075,3113,39051,51300,179097,30752,35675,56446,117
2012,34687,22335,33672,7255,7870,90751,126730,452074,61836,67290,96880,285
2013,61141,44592,65993,63077,17756,178963,254902,856429,105100,120050,154161,1510
2014,88753,80922,105127,166740,83667,328591,414923,1498943,153627,193719,182211,4032
2015,138554,160306,174879,188993,367761,621551,640429,2283035,232595,312956,210689,7160
2016,166904,230012,221815,287652,663119,931521,1011666,3486863,282488,462950,214689,44653
2017,201427,333835,291985,354037,1025605,1270826,1465105,4759529,375204,730177,230667,162261
2018,239937,423986,393104,410687,1329691,1549059,1940142,5838057,408867,1042297,220384,285762
2019,262894,485212,433805,474883,1883616,1693807,2279961,6974134,427472,1301565,241702,383582
2020,303022,646257,517229,729395,2681803,1899225,3641866,9294305,515794,1868641,563090,639162
2021,352072,774195,577508,965048,3799248,2022712,4902765,13630371,598062,2272038,320333,918401
2022,184874,390526,304694,547296,2029478,1007235,2357836,7379254,263217,1122360,84596,515197
