year,month,date,tag,month_count_per_tag,overall_count,percent,running_count
"2008","8","2008-08-01 00:00:00","fortran","1","3786","0.026413100898","1"
"2008","8","2008-08-01 00:00:00","matlab","2","3786","0.052826201796","2"
"2008","8","2008-08-01 00:00:00","python","120","3786","3.169572107765","120"
"2008","9","2008-09-01 00:00:00","fortran","3","14159","0.021187937001","4"
"2008","9","2008-09-01 00:00:00","matlab","11","14159","0.077689102337","13"
"2008","9","2008-09-01 00:00:00","octave","2","14159","0.014125291334","2"
"2008","9","2008-09-01 00:00:00","python","537","14159","3.792640723214","657"
"2008","9","2008-09-01 00:00:00","r","6","14159","0.042375874002","6"
"2008","9","2008-09-01 00:00:00","scala","6","14159","0.042375874002","6"
"2008","10","2008-10-01 00:00:00","fortran","3","14662","0.02046105579","7"
"2008","10","2008-10-01 00:00:00","matlab","21","14662","0.143227390533","34"
"2008","10","2008-10-01 00:00:00","python","508","14662","3.464738780521","1165"
"2008","10","2008-10-01 00:00:00","scala","7","14662","0.047742463511","13"
"2008","11","2008-11-01 00:00:00","fortran","4","12787","0.031281770548","11"
"2008","11","2008-11-01 00:00:00","matlab","11","12787","0.086024869007","45"
"2008","11","2008-11-01 00:00:00","python","451","12787","3.527019629311","1616"
"2008","11","2008-11-01 00:00:00","r","1","12787","0.007820442637","7"
"2008","11","2008-11-01 00:00:00","scala","5","12787","0.039102213185","18"
"2008","12","2008-12-01 00:00:00","fortran","4","12145","0.032935364347","15"
"2008","12","2008-12-01 00:00:00","matlab","13","12145","0.107039934129","58"
"2008","12","2008-12-01 00:00:00","octave","3","12145","0.02470152326","5"
"2008","12","2008-12-01 00:00:00","python","438","12145","3.606422396047","2054"
"2008","12","2008-12-01 00:00:00","r","1","12145","0.008233841086","8"
"2008","12","2008-12-01 00:00:00","scala","3","12145","0.02470152326","21"
"2009","1","2009-01-01 00:00:00","fortran","3","15924","0.018839487565","18"
"2009","1","2009-01-01 00:00:00","matlab","19","15924","0.119316754584","77"
"2009","1","2009-01-01 00:00:00","octave","1","15924","0.006279829188","6"
"2009","1","2009-01-01 00:00:00","python","631","15924","3.962572218035","2685"
"2009","1","2009-01-01 00:00:00","r","8","15924","0.050238633509","16"
"2009","1","2009-01-01 00:00:00","scala","12","15924","0.075357950263","33"
"2009","2","2009-02-01 00:00:00","fortran","5","17668","0.028299750962","23"
