year,month,date,tag,month_count_per_tag,overall_count,percent,running_count
"2008","9","2008-09-01 00:00:00","numpy","3","14159","0.021187937001","3"
"2008","10","2008-10-01 00:00:00","numpy","2","14662","0.01364070386","5"
"2008","11","2008-11-01 00:00:00","numpy","3","12787","0.023461327911","8"
"2008","12","2008-12-01 00:00:00","numpy","4","12145","0.032935364347","12"
"2008","12","2008-12-01 00:00:00","scipy","1","12145","0.008233841086","1"
"2009","1","2009-01-01 00:00:00","numpy","7","15924","0.04395880432","19"
"2009","1","2009-01-01 00:00:00","scipy","2","15924","0.012559658377","3"
"2009","2","2009-02-01 00:00:00","numpy","7","17668","0.039619651347","26"
"2009","2","2009-02-01 00:00:00","scipy","3","17668","0.016979850577","6"
"2009","3","2009-03-01 00:00:00","numpy","4","20556","0.019459038723","30"
"2009","3","2009-03-01 00:00:00","scipy","2","20556","0.009729519361","8"
"2009","4","2009-04-01 00:00:00","numpy","7","21421","0.032678212968","37"
"2009","4","2009-04-01 00:00:00","scipy","4","21421","0.018673264553","12"
"2009","5","2009-05-01 00:00:00","numpy","7","25917","0.027009298915","44"
"2009","5","2009-05-01 00:00:00","scipy","2","25917","0.007716942547","14"
"2009","6","2009-06-01 00:00:00","numpy","13","28431","0.045724737082","57"
"2009","6","2009-06-01 00:00:00","scipy","2","28431","0.007034574935","16"
"2009","7","2009-07-01 00:00:00","numpy","6","32615","0.018396443354","63"
"2009","7","2009-07-01 00:00:00","scipy","7","32615","0.021462517246","23"
"2009","8","2009-08-01 00:00:00","numpy","9","32883","0.027369765532","72"
"2009","8","2009-08-01 00:00:00","scipy","5","32883","0.015205425295","28"
"2009","9","2009-09-01 00:00:00","numpy","8","33159","0.02412617992","80"
"2009","9","2009-09-01 00:00:00","scipy","2","33159","0.00603154498","30"
"2009","10","2009-10-01 00:00:00","numpy","27","36455","0.074063914415","107"
"2009","10","2009-10-01 00:00:00","scipy","9","36455","0.024687971471","39"
"2009","11","2009-11-01 00:00:00","numpy","39","38634","0.100947352073","146"
"2009","11","2009-11-01 00:00:00","scipy","10","38634","0.025883936429","49"
"2009","12","2009-12-01 00:00:00","numpy","26","37929","0.068549131271","172"
"2009","12","2009-12-01 00:00:00","scipy","5","37929","0.013182525244","54"
"2010","1","2010-01-01 00:00:00","numpy","21","45099","0.04656422537","193"
"2010","1","2010-01-01 00:00:00","pandas","1","45099","0.002217344065","1"
"2010","1","2010-01-01 00:00:00","scikit-learn","1","45099","0.002217344065","1"
"2010","1","2010-01-01 00:00:00","scipy","15","45099","0.033260160979","69"
"2010","2","2010-02-01 00:00:00","numpy","40","44956","0.088975887534","233"
"2010","2","2010-02-01 00:00:00","scipy","11","44956","0.024468369071","80"
"2010","3","2010-03-01 00:00:00","numpy","39","52398","0.074430321768","272"
"2010","3","2010-03-01 00:00:00","scipy","16","52398","0.030535516622","96"
"2010","4","2010-04-01 00:00:00","numpy","42","50206","0.083655339999","314"
"2010","4","2010-04-01 00:00:00","scipy","17","50206","0.033860494761","113"
"2010","5","2010-05-01 00:00:00","numpy","30","52146","0.057530778966","344"
"2010","5","2010-05-01 00:00:00","scipy","16","52146","0.030683082115","129"
"2010","6","2010-06-01 00:00:00","numpy","43","55934","0.076876318518","387"
"2010","6","2010-06-01 00:00:00","scipy","24","55934","0.042907712661","153"
"2010","7","2010-07-01 00:00:00","numpy","36","61021","0.058996083315","423"
"2010","7","2010-07-01 00:00:00","scipy","15","61021","0.024581701381","168"
"2010","8","2010-08-01 00:00:00","numpy","49","63852","0.07673996116","472"
"2010","8","2010-08-01 00:00:00","scipy","13","63852","0.020359581532","181"
"2010","9","2010-09-01 00:00:00","numpy","42","61410","0.068392769907","514"
"2010","9","2010-09-01 00:00:00","scipy","16","61410","0.026054388536","197"
"2010","10","2010-10-01 00:00:00","numpy","50","63991","0.078135987873","564"
"2010","10","2010-10-01 00:00:00","scipy","16","63991","0.025003516119","213"
"2010","11","2010-11-01 00:00:00","numpy","66","69907","0.094411146237","630"
"2010","11","2010-11-01 00:00:00","scipy","21","69907","0.030039910166","234"
"2010","12","2010-12-01 00:00:00","numpy","64","69801","0.091689230813","694"
"2010","12","2010-12-01 00:00:00","scipy","20","69801","0.028652884629","254"
"2011","1","2011-01-01 00:00:00","numpy","51","80151","0.063629898566","745"
"2011","1","2011-01-01 00:00:00","scikit-learn","1","80151","0.001247645069","2"
"2011","1","2011-01-01 00:00:00","scipy","18","80151","0.022457611258","272"
"2011","2","2011-02-01 00:00:00","numpy","62","83217","0.074504007594","807"
"2011","2","2011-02-01 00:00:00","scipy","24","83217","0.028840261004","296"
"2011","3","2011-03-01 00:00:00","numpy","116","101426","0.114369096681","923"
"2011","3","2011-03-01 00:00:00","pandas","1","101426","0.000985940488","2"
"2011","3","2011-03-01 00:00:00","scipy","36","101426","0.03549385759","332"
"2011","4","2011-04-01 00:00:00","numpy","101","96055","0.105148092238","1024"
"2011","4","2011-04-01 00:00:00","pandas","2","96055","0.00208214044","4"
"2011","4","2011-04-01 00:00:00","scikit-learn","1","96055","0.00104107022","3"
"2011","4","2011-04-01 00:00:00","scipy","22","96055","0.022903544844","354"
"2011","5","2011-05-01 00:00:00","numpy","93","100885","0.092184170094","1117"
"2011","5","2011-05-01 00:00:00","scipy","23","100885","0.022798235614","377"
"2011","6","2011-06-01 00:00:00","numpy","84","99706","0.084247688203","1201"
"2011","6","2011-06-01 00:00:00","pandas","2","99706","0.002005897338","6"
"2011","6","2011-06-01 00:00:00","scipy","36","99706","0.036106152087","413"
"2011","7","2011-07-01 00:00:00","numpy","95","101279","0.093800294236","1296"
"2011","7","2011-07-01 00:00:00","scikit-learn","1","101279","0.000987371518","4"
"2011","7","2011-07-01 00:00:00","scipy","25","101279","0.024684287957","438"
"2011","8","2011-08-01 00:00:00","numpy","124","107853","0.114971303533","1420"
"2011","8","2011-08-01 00:00:00","scipy","42","107853","0.038941893132","480"
"2011","9","2011-09-01 00:00:00","numpy","120","102784","0.116749688667","1540"
"2011","9","2011-09-01 00:00:00","pandas","1","102784","0.000972914072","7"
"2011","9","2011-09-01 00:00:00","scikit-learn","1","102784","0.000972914072","5"
"2011","9","2011-09-01 00:00:00","scipy","25","102784","0.024322851805","505"
"2011","10","2011-10-01 00:00:00","keras","1","102144","0.000979010025","1"
"2011","10","2011-10-01 00:00:00","numpy","139","102144","0.136082393483","1679"
"2011","10","2011-10-01 00:00:00","pandas","5","102144","0.004895050125","12"
"2011","10","2011-10-01 00:00:00","scipy","46","102144","0.045034461152","551"
"2011","10","2011-10-01 00:00:00","tensorflow","1","102144","0.000979010025","1"
"2011","11","2011-11-01 00:00:00","numpy","107","109715","0.097525406735","1786"
"2011","11","2011-11-01 00:00:00","pandas","2","109715","0.001822904798","14"
"2011","11","2011-11-01 00:00:00","scikit-learn","4","109715","0.003645809597","9"
"2011","11","2011-11-01 00:00:00","scipy","44","109715","0.040103905573","595"
"2011","12","2011-12-01 00:00:00","numpy","108","104496","0.103353238401","1894"
"2011","12","2011-12-01 00:00:00","pandas","1","104496","0.000956974429","15"
"2011","12","2011-12-01 00:00:00","scikit-learn","2","104496","0.001913948859","11"
"2011","12","2011-12-01 00:00:00","scipy","37","104496","0.035408053896","632"
"2012","1","2012-01-01 00:00:00","numpy","142","117073","0.12129184355","2036"
"2012","1","2012-01-01 00:00:00","pandas","6","117073","0.005125007473","21"
"2012","1","2012-01-01 00:00:00","scikit-learn","1","117073","0.000854167912","12"
"2012","1","2012-01-01 00:00:00","scipy","53","117073","0.045270899353","685"
"2012","2","2012-02-01 00:00:00","numpy","150","124890","0.120105693009","2186"
"2012","2","2012-02-01 00:00:00","pandas","4","124890","0.00320281848","25"
"2012","2","2012-02-01 00:00:00","scikit-learn","5","124890","0.0040035231","17"
"2012","2","2012-02-01 00:00:00","scipy","64","124890","0.051245095684","749"
"2012","3","2012-03-01 00:00:00","numpy","167","134847","0.123844060305","2353"
"2012","3","2012-03-01 00:00:00","pandas","30","134847","0.022247435983","55"
"2012","3","2012-03-01 00:00:00","scikit-learn","5","134847","0.003707905997","22"
"2012","3","2012-03-01 00:00:00","scipy","66","134847","0.048944359162","815"
"2012","4","2012-04-01 00:00:00","numpy","156","129956","0.120040629136","2509"
"2012","4","2012-04-01 00:00:00","pandas","26","129956","0.020006771522","81"
"2012","4","2012-04-01 00:00:00","scikit-learn","7","129956","0.005386438486","29"
"2012","4","2012-04-01 00:00:00","scipy","46","129956","0.03539659577","861"
"2012","5","2012-05-01 00:00:00","numpy","172","135567","0.126874534363","2681"
"2012","5","2012-05-01 00:00:00","pandas","43","135567","0.03171863359","124"
"2012","5","2012-05-01 00:00:00","scikit-learn","6","135567","0.004425855849","35"
"2012","5","2012-05-01 00:00:00","scipy","54","135567","0.039832702648","915"
"2012","6","2012-06-01 00:00:00","numpy","178","131787","0.135066432956","2859"
"2012","6","2012-06-01 00:00:00","pandas","50","131787","0.037940009257","174"
"2012","6","2012-06-01 00:00:00","scikit-learn","15","131787","0.011382002777","50"
"2012","6","2012-06-01 00:00:00","scipy","59","131787","0.044769210923","974"
"2012","7","2012-07-01 00:00:00","numpy","203","143098","0.141860822653","3062"
"2012","7","2012-07-01 00:00:00","pandas","66","143098","0.046122237906","240"
"2012","7","2012-07-01 00:00:00","scikit-learn","9","143098","0.006289396078","59"
"2012","7","2012-07-01 00:00:00","scipy","69","143098","0.048218703266","1043"
"2012","8","2012-08-01 00:00:00","numpy","222","142417","0.155880267102","3284"
"2012","8","2012-08-01 00:00:00","pandas","88","142417","0.061790376148","328"
"2012","8","2012-08-01 00:00:00","scikit-learn","21","142417","0.014745430671","80"
