TagName,Count
"javascript","2445615"
"python","2057316"
"java","1874445"
"c#","1567547"
"php","1449614"
"android","1391116"
"html","1152981"
"jquery","1030886"
"c++","781483"
"css","776913"
"ios","676663"
"mysql","653963"
"sql","648030"
"r","470620"
"node.js","447933"
"reactjs","426394"
"arrays","402246"
"c","388543"
"asp.net","370880"
"json","348992"
"ruby-on-rails","334960"
"python-3.x","327110"
".net","325350"
"sql-server","324633"
"swift","321019"
"django","300002"
"objective-c","292579"
"angular","286834"
"excel","271908"
"pandas","265304"
"angularjs","262596"
"regex","254352"
"ruby","226327"
"iphone","221544"
"ajax","220984"
"linux","220898"
"xml","210938"
"vba","204815"
"spring","201668"
"typescript","200069"
"laravel","199870"
"asp.net-mvc","199386"
"database","190304"
"wordpress","187553"
"string","179314"
"mongodb","168466"
"wpf","167094"
"postgresql","162246"
"windows","160983"
"xcode","157030"
"bash","149384"
"oracle","145835"
"flutter","145661"
"git","145243"
"amazon-web-services","144016"
"vb.net","138365"
"multithreading","136735"
"list","135737"
"firebase","134148"
"dataframe","132069"
"spring-boot","130403"
"azure","125326"
"react-native","124824"
"eclipse","124141"
"docker","122705"
"algorithm","116879"
"macos","113657"
"forms","111685"
"visual-studio","111470"
"image","111376"
"scala","110122"
"powershell","108298"
"numpy","107354"
"function","106630"
"api","104818"
