date,ActionScript,C,C#,C++,CSS,Common Lisp,Emacs Lisp,Erlang,HTML,Io,Java,JavaScript,Jupyter Notebook,Lua,Objective-C,Others,PHP,Perl,Python,R,Ruby,Shell,TypeScript,Vim Script
2008,1,875,0,507,0,3,77,1,74,3,555,1847,0,5,247,6141,720,718,1399,0,7515,160,0,93
2009,0,3737,354,2447,0,0,309,0,0,0,3653,7246,0,0,1581,28167,3996,4485,7047,0,16169,829,0,0
2010,0,8695,2080,5808,0,0,415,0,0,0,12437,20040,0,0,2632,66695,12183,5059,15996,0,27246,1337,0,3734
2011,0,18897,8079,15403,0,0,0,0,0,0,39054,51312,0,0,8648,165203,30757,2829,35683,0,56477,8399,0,0
2012,0,34694,22344,33672,0,0,0,0,0,0,90772,126764,0,0,21482,425898,61851,0,67294,0,96929,20177,0,0
2013,0,61153,44602,66011,52230,0,0,0,0,0,179009,254946,0,0,41210,829563,105123,0,120065,0,154255,15996,0,0
2014,0,88771,80939,105147,166804,0,0,0,48950,0,328710,415026,0,0,26196,1459266,153674,34664,193759,6085,182309,11856,0,0
2015,0,128051,160359,174913,189049,0,0,0,367879,0,621780,640584,0,0,0,2246266,232661,0,313007,0,210785,55063,0,0
2016,0,166953,230091,221874,287772,0,0,0,663346,0,931882,1011965,0,0,0,3532496,282591,0,463089,0,214774,0,0,0
2017,0,186673,333971,292073,354229,0,0,0,1026015,0,1271403,1465610,0,0,0,4922471,375376,0,730371,0,215501,0,31409,0
2018,0,84550,424247,393276,410912,0,0,0,1330290,0,1549738,1941007,201893,0,0,6014847,409128,0,1042706,0,0,0,285896,0
2019,0,0,485537,434008,475248,0,0,0,1884746,0,1694972,2281371,497547,0,0,6985594,427782,0,1302222,0,0,0,383806,0
2020,0,0,646793,307964,730083,0,0,0,2683881,0,1900578,3644428,821390,0,0,9242108,339137,0,1869722,0,495285,0,639575,0
2021,0,0,775139,436164,966429,0,0,0,3804352,0,2025006,4907428,941494,0,0,13362765,598798,0,2274194,0,160969,0,919351,0
2022,0,0,391047,304883,549116,0,0,0,2037432,0,1009435,2362281,441540,0,0,7243488,263712,0,1123488,0,0,0,515746,0
