,date,language,count
0,2008-01,Ruby,32
1,2008-01,JavaScript,9
2,2008-01,C,2
3,2008-01,ActionScript,1
4,2008-01,Erlang,1
5,2008-01,Others,2
6,2008-02,Ruby,179
7,2008-02,JavaScript,24
8,2008-02,C,13
9,2008-02,Python,12
10,2008-02,PHP,7
11,2008-02,Lua,5
12,2008-02,Objective-C,5
13,2008-02,Common Lisp,3
14,2008-02,Io,3
15,2008-02,Java,3
16,2008-02,Others,45
17,2008-03,Ruby,377
18,2008-03,JavaScript,59
19,2008-03,Python,47
20,2008-03,C,37
21,2008-03,C++,19
22,2008-03,PHP,16
23,2008-03,Java,13
24,2008-03,Objective-C,12
25,2008-03,Perl,12
26,2008-03,Emacs Lisp,10
27,2008-03,Others,106
28,2008-04,Ruby,605
29,2008-04,JavaScript,100
30,2008-04,Python,75
31,2008-04,C,52
32,2008-04,PHP,44
33,2008-04,C++,34
34,2008-04,Perl,25
35,2008-04,Java,22
36,2008-04,Objective-C,21
37,2008-04,Emacs Lisp,14
38,2008-04,Others,249
39,2008-05,Ruby,702
40,2008-05,JavaScript,118
41,2008-05,Python,84
42,2008-05,C,64
43,2008-05,C++,41
44,2008-05,PHP,41
45,2008-05,Perl,41
46,2008-05,Shell,33
47,2008-05,Java,29
48,2008-05,Vim Script,23
49,2008-05,Others,263
50,2008-06,Ruby,801
51,2008-06,JavaScript,152
52,2008-06,Python,84
53,2008-06,C,75
54,2008-06,PHP,43
55,2008-06,Java,39
56,2008-06,C++,36
57,2008-06,Perl,28
58,2008-06,Shell,25
59,2008-06,Emacs Lisp,22
60,2008-06,Others,280
61,2008-07,Ruby,711
62,2008-07,JavaScript,156
63,2008-07,Python,100
64,2008-07,PHP,76
65,2008-07,C,61
66,2008-07,Perl,45
67,2008-07,Java,38
68,2008-07,Shell,30
69,2008-07,C++,27
70,2008-07,Objective-C,26
71,2008-07,Others,408
72,2008-08,Ruby,727
73,2008-08,JavaScript,185
74,2008-08,Python,140
75,2008-08,C,97
76,2008-08,PHP,85
77,2008-08,Perl,74
78,2008-08,Java,58
79,2008-08,C++,44
80,2008-08,Objective-C,43
81,2008-08,Shell,38
82,2008-08,Others,501
83,2008-09,Ruby,736
84,2008-09,JavaScript,225
85,2008-09,Python,168
86,2008-09,C,83
87,2008-09,PHP,74
88,2008-09,C++,73
89,2008-09,Java,53
90,2008-09,Perl,51
91,2008-09,Shell,34
92,2008-09,Emacs Lisp,31
93,2008-09,Others,764
94,2008-10,Ruby,787
95,2008-10,JavaScript,236
96,2008-10,Python,167
97,2008-10,C,124
98,2008-10,Java,98
99,2008-10,PHP,86
