year,month,tag,month count per tag,overall count,percent,running count
"2008","8","fortran","1","3805","0.026281208935","1"
"2008","8","matlab","2","3805","0.052562417871","2"
"2008","8","python","121","3805","3.180026281208","121"
"2008","9","fortran","3","14218","0.021100014066","4"
"2008","9","matlab","11","14218","0.077366718244","13"
"2008","9","octave","2","14218","0.014066676044","2"
"2008","9","python","537","14218","3.776902517935","658"
"2008","9","r","6","14218","0.042200028133","6"
"2008","9","scala","6","14218","0.042200028133","6"
"2008","10","fortran","3","14702","0.020405387022","7"
"2008","10","matlab","21","14702","0.142837709155","34"
"2008","10","python","508","14702","3.455312202421","1166"
"2008","10","scala","7","14702","0.047612569718","13"
"2008","11","fortran","4","12803","0.031242677497","11"
"2008","11","matlab","11","12803","0.085917363118","45"
"2008","11","python","452","12803","3.530422557213","1618"
"2008","11","r","1","12803","0.007810669374","7"
"2008","11","scala","5","12803","0.039053346871","18"
"2008","12","fortran","4","12170","0.032867707477","15"
"2008","12","matlab","13","12170","0.106820049301","58"
"2008","12","octave","3","12170","0.024650780608","5"
"2008","12","python","439","12170","3.607230895645","2057"
"2008","12","r","1","12170","0.008216926869","8"
"2008","12","scala","3","12170","0.024650780608","21"
"2009","1","fortran","3","15958","0.018799348289","18"
"2009","1","matlab","19","15958","0.119062539165","77"
"2009","1","octave","1","15958","0.006266449429","6"
"2009","1","python","631","15958","3.954129590174","2688"
"2009","1","r","8","15958","0.050131595438","16"
"2009","1","scala","12","15958","0.075197393157","33"
"2009","2","fortran","5","17695","0.028256569652","23"
"2009","2","matlab","27","17695","0.152585476123","104"
"2009","2","octave","1","17695","0.00565131393","7"
"2009","2","python","629","17695","3.554676462277","3317"
"2009","2","r","9","17695","0.050861825374","25"
"2009","2","scala","12","17695","0.067815767165","45"
"2009","3","fortran","8","20577","0.038878359333","31"
"2009","3","matlab","23","20577","0.111775283083","127"
"2009","3","octave","2","20577","0.009719589833","9"
"2009","3","python","764","20577","3.712883316324","4081"
"2009","3","r","4","20577","0.019439179666","29"
"2009","3","scala","17","20577","0.082616513583","62"
"2009","4","fortran","8","21453","0.037290821796","39"
"2009","4","matlab","32","21453","0.149163287185","159"
"2009","4","python","767","21453","3.575257539738","4848"
"2009","4","r","12","21453","0.055936232694","41"
"2009","4","scala","27","21453","0.125856523563","89"
"2009","5","fortran","14","25942","0.053966540744","53"
"2009","5","matlab","42","25942","0.161899622234","201"
"2009","5","python","998","25942","3.847043404517","5846"
"2009","5","r","2","25942","0.00770950582","43"
"2009","5","scala","12","25942","0.046257034924","101"
"2009","6","fortran","18","28463","0.063239995784","71"
"2009","6","matlab","43","28463","0.151073323261","244"
"2009","6","python","1044","28463","3.667919755472","6890"
"2009","6","r","5","28463","0.017566665495","48"
"2009","6","scala","63","28463","0.221339985244","164"
"2009","7","fortran","14","32652","0.042876393482","85"
"2009","7","matlab","39","32652","0.119441381844","283"
"2009","7","octave","3","32652","0.009187798603","12"
"2009","7","python","1161","32652","3.555678059536","8051"
"2009","7","r","51","32652","0.156192576258","99"
"2009","7","scala","59","32652","0.180693372534","223"
"2009","8","fortran","13","32913","0.039498070671","98"
"2009","8","matlab","34","32913","0.10330264637","317"
"2009","8","octave","1","32913","0.003038313128","13"
"2009","8","python","1138","32913","3.457600340291","9189"
"2009","8","r","47","32913","0.142800717041","146"
"2009","8","scala","72","32913","0.218758545255","295"
"2009","9","fortran","6","33186","0.018079913216","104"
"2009","9","matlab","51","33186","0.153679262339","368"
"2009","9","octave","8","33186","0.024106550955","21"
"2009","9","python","1165","33186","3.510516482854","10354"
"2009","9","r","138","33186","0.415838003977","284"
"2009","9","scala","63","33186","0.189839088772","358"
"2009","10","fortran","15","36489","0.041108279207","119"
"2009","10","matlab","70","36489","0.191838636301","438"
"2009","10","octave","4","36489","0.010962207788","25"
"2009","10","python","1420","36489","3.89158376497","11774"
"2009","10","r","73","36489","0.200060292142","357"
"2009","10","scala","100","36489","0.274055194716","458"
"2009","11","fortran","9","38658","0.023281080242","128"
"2009","11","matlab","117","38658","0.302654043147","555"
"2009","11","octave","6","38658","0.015520720161","31"
"2009","11","python","1554","38658","4.019866521806","13328"
"2009","11","r","94","38658","0.243157949195","451"
"2009","11","scala","95","38658","0.245744735889","553"
"2009","12","fortran","13","37949","0.034256502147","141"
"2009","12","matlab","101","37949","0.266146670531","656"
"2009","12","octave","5","37949","0.013175577749","36"
"2009","12","python","1588","37949","4.184563493109","14916"
"2009","12","r","80","37949","0.210809243985","531"
"2009","12","scala","84","37949","0.221349706184","637"
"2010","1","fortran","11","45121","0.024378892311","152"
"2010","1","matlab","92","45121","0.203896190244","748"
"2010","1","octave","9","45121","0.019946366436","45"
"2010","1","python","1946","45121","4.312847676248","16862"
"2010","1","r","94","45121","0.208328716118","625"
"2010","1","scala","105","45121","0.23270760843","742"
"2010","2","fortran","13","44979","0.028902376664","165"
"2010","2","matlab","111","44979","0.246781831521","859"
"2010","2","octave","4","44979","0.008893038973","49"
"2010","2","python","1863","44979","4.14193290202","18725"
"2010","2","r","122","44979","0.271237688699","747"
"2010","2","scala","115","44979","0.255674870495","857"
"2010","3","fortran","19","52434","0.036236030056","184"
"2010","3","matlab","122","52434","0.232673456154","981"
"2010","3","octave","11","52434","0.020978754243","60"
"2010","3","python","2073","52434","3.953541595148","20798"
"2010","3","r","139","52434","0.265095167257","886"
"2010","3","scala","115","52434","0.219323339817","972"
"2010","4","fortran","13","50237","0.025877341401","197"
"2010","4","matlab","185","50237","0.368254473794","1166"
"2010","4","octave","5","50237","0.009952823616","65"
"2010","4","python","1812","50237","3.60690327846","22610"
"2010","4","r","160","50237","0.318490355713","1046"
"2010","4","scala","163","50237","0.324462049883","1135"
"2010","5","fortran","18","52189","0.034490026633","215"
"2010","5","matlab","207","52189","0.39663530629","1373"
"2010","5","octave","5","52189","0.009580562953","70"
"2010","5","python","2008","52189","3.847554082277","24618"
"2010","5","r","139","52189","0.266339650117","1185"
"2010","5","scala","167","52189","0.319990802659","1302"
"2010","6","fortran","14","55970","0.025013400035","229"
"2010","6","matlab","146","55970","0.260854028944","1519"
"2010","6","octave","2","55970","0.003573342862","72"
"2010","6","python","2205","55970","3.939610505628","26823"
"2010","6","r","176","55970","0.314454171877","1361"
"2010","6","scala","173","55970","0.309094157584","1475"
"2010","7","fortran","23","61083","0.037653684331","252"
"2010","7","matlab","151","61083","0.247204623217","1670"
"2010","7","octave","3","61083","0.00491135013","75"
"2010","7","python","2593","61083","4.24504362916","29416"
"2010","7","r","234","61083","0.383085310151","1595"
"2010","7","scala","185","61083","0.302866591359","1660"
"2010","8","fortran","23","63911","0.03598754518","275"
