year,month,tag,month count per tag,overall count,percent,running count
"2008","9","numpy","3","14218","0.021100014066","3"
"2008","10","numpy","2","14702","0.013603591348","5"
"2008","11","numpy","3","12803","0.023432008123","8"
"2008","12","numpy","4","12170","0.032867707477","12"
"2008","12","scipy","1","12170","0.008216926869","1"
"2009","1","numpy","7","15958","0.043865146008","19"
"2009","1","scipy","2","15958","0.012532898859","3"
"2009","2","numpy","7","17695","0.039559197513","26"
"2009","2","scipy","3","17695","0.016953941791","6"
"2009","3","numpy","4","20577","0.019439179666","30"
"2009","3","scipy","2","20577","0.009719589833","8"
"2009","4","numpy","7","21453","0.032629469071","37"
"2009","4","scipy","4","21453","0.018645410898","12"
"2009","5","numpy","7","25942","0.026983270372","44"
"2009","5","scipy","2","25942","0.00770950582","14"
"2009","6","numpy","13","28463","0.045673330288","57"
"2009","6","scipy","2","28463","0.007026666198","16"
"2009","7","numpy","6","32652","0.018375597206","63"
"2009","7","scipy","7","32652","0.021438196741","23"
"2009","8","numpy","9","32913","0.027344818156","72"
"2009","8","scipy","5","32913","0.015191565642","28"
"2009","9","numpy","8","33186","0.024106550955","80"
"2009","9","scipy","2","33186","0.006026637738","30"
"2009","10","numpy","27","36489","0.073994902573","107"
"2009","10","scipy","9","36489","0.024664967524","39"
"2009","11","numpy","39","38658","0.100884681049","146"
"2009","11","scipy","10","38658","0.025867866935","49"
"2009","12","numpy","26","37949","0.068513004295","172"
"2009","12","scipy","5","37949","0.013175577749","54"
"2010","1","numpy","21","45121","0.046541521686","193"
"2010","1","scipy","15","45121","0.033243944061","69"
"2010","2","numpy","40","44979","0.088930389737","233"
"2010","2","scipy","11","44979","0.024455857177","80"
"2010","3","numpy","39","52434","0.07437921959","272"
"2010","3","scipy","16","52434","0.030514551626","96"
"2010","4","numpy","42","50237","0.083603718374","314"
"2010","4","scipy","17","50237","0.033839600294","113"
"2010","5","numpy","30","52189","0.057483377723","344"
"2010","5","scipy","16","52189","0.030657801452","129"
"2010","6","numpy","43","55970","0.076826871538","387"
"2010","6","scipy","24","55970","0.042880114346","153"
"2010","7","numpy","36","61083","0.058936201561","423"
"2010","7","scipy","15","61083","0.02455675065","168"
"2010","8","numpy","49","63911","0.076669117992","472"
"2010","8","scipy","13","63911","0.020340786406","181"
"2010","9","numpy","42","61452","0.068346026166","514"
"2010","9","scipy","16","61452","0.026036581396","197"
"2010","10","numpy","50","64045","0.078070106956","564"
"2010","10","scipy","16","64045","0.024982434225","213"
"2010","11","numpy","66","69965","0.094332880726","630"
"2010","11","scipy","21","69965","0.030015007503","234"
"2010","12","numpy","64","69863","0.091607861099","694"
"2010","12","scipy","20","69863","0.028627456593","254"
"2011","1","numpy","51","80291","0.06351894982","745"
"2011","1","scikit-learn","1","80291","0.001245469604","1"
"2011","1","scipy","18","80291","0.022418452877","272"
"2011","2","numpy","62","83330","0.074402976119","807"
"2011","2","scipy","24","83330","0.028801152046","296"
"2011","3","numpy","116","101492","0.114294722736","923"
"2011","3","pandas","1","101492","0.000985299333","1"
"2011","3","scipy","36","101492","0.035470776021","332"
"2011","4","numpy","101","96113","0.105084639955","1024"
"2011","4","pandas","2","96113","0.002080883959","3"
"2011","4","scikit-learn","1","96113","0.001040441979","2"
"2011","4","scipy","22","96113","0.022889723554","354"
"2011","5","numpy","93","100943","0.092131202757","1117"
"2011","5","scipy","23","100943","0.022785136165","377"
"2011","6","numpy","84","99781","0.084184363756","1201"
"2011","6","pandas","2","99781","0.002004389613","5"
"2011","6","scipy","36","99781","0.036079013038","413"
"2011","7","numpy","95","101356","0.093729034294","1296"
"2011","7","scikit-learn","1","101356","0.000986621413","3"
"2011","7","scipy","25","101356","0.02466553534","438"
"2011","8","numpy","124","107936","0.114882893566","1420"
"2011","8","scipy","42","107936","0.03891194782","480"
"2011","9","numpy","120","102859","0.116664560223","1540"
"2011","9","pandas","1","102859","0.000972204668","6"
"2011","9","scikit-learn","1","102859","0.000972204668","4"
"2011","9","scipy","25","102859","0.024305116713","505"
"2011","10","keras","1","102218","0.000978301277","1"
"2011","10","numpy","139","102218","0.135983877594","1679"
"2011","10","pandas","4","102218","0.00391320511","10"
"2011","10","scipy","46","102218","0.045001858772","551"
"2011","10","tensorflow","1","102218","0.000978301277","1"
"2011","11","numpy","107","109789","0.097459672644","1786"
"2011","11","pandas","2","109789","0.001821676124","12"
"2011","11","scikit-learn","4","109789","0.003643352248","8"
"2011","11","scipy","44","109789","0.040076874732","595"
"2011","12","numpy","108","104550","0.103299856527","1894"
"2011","12","pandas","1","104550","0.000956480153","13"
"2011","12","scikit-learn","2","104550","0.001912960306","10"
"2011","12","scipy","37","104550","0.035389765662","632"
"2012","1","numpy","144","117141","0.122928778139","2038"
"2012","1","pandas","6","117141","0.005122032422","19"
"2012","1","scikit-learn","1","117141","0.00085367207","11"
"2012","1","scipy","54","117141","0.046098291802","686"
"2012","2","numpy","150","124962","0.120036491093","2188"
"2012","2","pandas","4","124962","0.003200973095","23"
"2012","2","scikit-learn","5","124962","0.004001216369","16"
"2012","2","scipy","64","124962","0.051215569533","750"
"2012","3","numpy","167","134936","0.123762376237","2355"
"2012","3","pandas","30","134936","0.022232762198","53"
"2012","3","scikit-learn","5","134936","0.003705460366","21"
"2012","3","scipy","66","134936","0.048912076836","816"
"2012","4","numpy","156","130051","0.119952941538","2511"
"2012","4","pandas","26","130051","0.019992156923","79"
"2012","4","scikit-learn","7","130051","0.005382503786","28"
"2012","4","scipy","46","130051","0.035370739171","862"
"2012","5","numpy","172","135659","0.126788491732","2683"
"2012","5","pandas","43","135659","0.031697122933","122"
"2012","5","scikit-learn","6","135659","0.004422854362","34"
"2012","5","scipy","54","135659","0.039805689264","916"
"2012","6","numpy","178","131884","0.134967092293","2861"
"2012","6","pandas","50","131884","0.037912104576","172"
"2012","6","scikit-learn","15","131884","0.011373631373","49"
"2012","6","scipy","59","131884","0.0447362834","975"
"2012","7","numpy","203","143202","0.141757796678","3064"
"2012","7","pandas","66","143202","0.046088741777","238"
"2012","7","scikit-learn","9","143202","0.006284828424","58"
"2012","7","scipy","69","143202","0.048183684585","1044"
"2012","8","numpy","222","142513","0.155775262607","3286"
"2012","8","pandas","88","142513","0.061748752745","326"
"2012","8","scikit-learn","21","142513","0.014735497814","79"
"2012","8","scipy","76","142513","0.05332846828","1120"
"2012","9","numpy","230","133260","0.172594927209","3516"
"2012","9","pandas","92","133260","0.069037970883","418"
"2012","9","scikit-learn","22","133260","0.016509079993","101"
"2012","9","scipy","76","133260","0.057031367251","1196"
"2012","10","numpy","247","151156","0.16340734076","3763"
"2012","10","pandas","103","151156","0.068141522665","521"
"2012","10","scikit-learn","19","151156","0.012569795443","120"
"2012","10","scipy","93","151156","0.061525840853","1289"
"2012","11","numpy","279","149301","0.186870818011","4042"
"2012","11","pandas","120","149301","0.080374545381","641"
"2012","11","scikit-learn","21","149301","0.014065545441","141"
"2012","11","scipy","107","149301","0.071667302965","1396"
"2012","12","numpy","209","136380","0.153248276873","4251"
"2012","12","pandas","123","136380","0.090189177298","764"
"2012","12","scikit-learn","16","136380","0.011731925502","157"
"2012","12","scipy","76","136380","0.055726646135","1472"
"2013","1","numpy","256","158862","0.161146152006","4507"
"2013","1","pandas","157","158862","0.098827913535","921"
"2013","1","scikit-learn","39","158862","0.024549609094","196"
"2013","1","scipy","102","158862","0.064206669939","1574"
"2013","2","numpy","283","154387","0.183305589201","4790"
"2013","2","pandas","186","154387","0.120476464987","1107"
"2013","2","scikit-learn","36","154387","0.023318025481","232"
"2013","2","scipy","77","154387","0.049874665613","1651"
"2013","3","numpy","328","175030","0.187396446323","5118"
"2013","3","pandas","173","175030","0.098840198823","1280"
"2013","3","scikit-learn","37","175030","0.021139233274","269"
"2013","3","scipy","99","175030","0.056561732274","1750"
"2013","4","numpy","384","172834","0.222178506543","5502"
"2013","4","pandas","190","172834","0.10993207355","1470"
"2013","4","scikit-learn","44","172834","0.025457953874","313"
"2013","4","scipy","123","172834","0.071166552877","1873"
"2013","5","numpy","362","167852","0.215666182112","5864"
"2013","5","pandas","226","167852","0.134642423087","1696"
"2013","5","scikit-learn","47","167852","0.028000857898","360"
"2013","5","scipy","96","167852","0.057193241665","1969"
"2013","6","numpy","294","159847","0.183925879121","6158"
"2013","6","pandas","246","159847","0.153897164163","1942"
"2013","6","scikit-learn","41","159847","0.02564952736","401"
"2013","6","scipy","93","159847","0.058180635232","2062"
"2013","7","numpy","415","178441","0.232569869032","6573"
"2013","7","pandas","289","178441","0.161958294338","2231"
"2013","7","scikit-learn","50","178441","0.028020466148","451"
"2013","7","scipy","131","178441","0.073413621309","2193"
"2013","7","tensorflow","1","178441","0.000560409322","2"
"2013","8","numpy","337","171894","0.196051054719","6910"
"2013","8","pandas","284","171894","0.165218099526","2515"
"2013","8","scikit-learn","43","171894","0.025015416477","494"
"2013","8","scipy","113","171894","0.065738187487","2306"
"2013","9","numpy","394","167154","0.235710781674","7304"
"2013","9","pandas","241","167154","0.144178422293","2756"
"2013","9","scikit-learn","39","167154","0.023331777881","533"
"2013","9","scipy","111","167154","0.066405829354","2417"
"2013","10","numpy","451","186109","0.242331107039","7755"
"2013","10","pandas","359","186109","0.192897710481","3115"
"2013","10","scikit-learn","57","186109","0.030627213084","590"
"2013","10","scipy","139","186109","0.074687414364","2556"
"2013","11","numpy","486","178088","0.272898791608","8241"
"2013","11","pandas","356","178088","0.199901172454","3471"
"2013","11","scikit-learn","73","178088","0.040990970756","663"
"2013","11","scipy","134","178088","0.075243699743","2690"
"2013","12","keras","1","166966","0.000598924331","2"
"2013","12","numpy","403","166966","0.241366505755","8644"
"2013","12","pandas","332","166966","0.19884287819","3803"
"2013","12","scikit-learn","90","166966","0.05390318987","753"
"2013","12","scipy","126","166966","0.075464465819","2816"
"2013","12","tensorflow","1","166966","0.000598924331","3"
"2014","1","numpy","487","190808","0.255230388662","9131"
"2014","1","pandas","451","190808","0.236363255209","4254"
"2014","1","scikit-learn","99","190808","0.051884616997","852"
"2014","1","scipy","116","190808","0.060794096683","2932"
"2014","2","numpy","556","189777","0.292975439594","9687"
"2014","2","pandas","406","189777","0.213935303013","4660"
"2014","2","scikit-learn","73","189777","0.038466199802","925"
"2014","2","scipy","160","189777","0.08430947902","3092"
"2014","3","numpy","565","209692","0.269442801823","10252"
"2014","3","pandas","527","209692","0.251320985063","5187"
"2014","3","scikit-learn","99","209692","0.047212101558","1024"
"2014","3","scipy","157","209692","0.074871716612","3249"
"2014","4","numpy","506","196571","0.257413351918","10758"
"2014","4","pandas","492","196571","0.250291243367","5679"
"2014","4","scikit-learn","111","196571","0.056468146369","1135"
"2014","4","scipy","131","196571","0.066642587156","3380"
"2014","5","numpy","510","178182","0.28622419773","11268"
"2014","5","pandas","462","178182","0.259285449708","6141"
"2014","5","scikit-learn","83","178182","0.04658158512","1218"
"2014","5","scipy","144","178182","0.080816244065","3524"
"2014","6","numpy","435","164370","0.264646833363","11703"
"2014","6","pandas","461","164370","0.280464805013","6602"
"2014","6","scikit-learn","90","164370","0.054754517247","1308"
"2014","6","scipy","125","164370","0.076047940621","3649"
"2014","7","numpy","480","179074","0.268045612428","12183"
"2014","7","pandas","484","179074","0.270279325865","7086"
"2014","7","scikit-learn","102","179074","0.056959692641","1410"
"2014","7","scipy","146","179074","0.081530540446","3795"
"2014","8","numpy","468","165118","0.28343366562","12651"
"2014","8","pandas","481","165118","0.291306822999","7567"
"2014","8","scikit-learn","91","165118","0.055112101648","1501"
"2014","8","scipy","153","165118","0.092661006068","3948"
"2014","9","numpy","424","167690","0.25284751625","13075"
"2014","9","pandas","488","167690","0.29101317908","8055"
"2014","9","scikit-learn","66","167690","0.039358339793","1567"
"2014","9","scipy","103","167690","0.061422863617","4051"
"2014","10","numpy","520","174695","0.297661638856","13595"
"2014","10","pandas","486","174695","0.278199147084","8541"
"2014","10","scikit-learn","90","174695","0.051518360571","1657"
"2014","10","scipy","124","174695","0.070980852342","4175"
"2014","11","numpy","459","168311","0.27270944858","14054"
"2014","11","pandas","515","168311","0.305981189583","9056"
"2014","11","scikit-learn","86","168311","0.051095887969","1743"
"2014","11","scipy","97","168311","0.057631408523","4272"
"2014","12","numpy","420","156844","0.267781999948","14474"
"2014","12","pandas","416","156844","0.265231695187","9472"
"2014","12","scikit-learn","100","156844","0.063757619035","1843"
"2014","12","scipy","118","156844","0.075233990461","4390"
"2015","1","numpy","492","167504","0.293724328971","14966"
"2015","1","pandas","483","167504","0.288351322953","9955"
"2015","1","scikit-learn","109","167504","0.065073072881","1952"
"2015","1","scipy","122","167504","0.072834081574","4512"
"2015","2","numpy","552","169872","0.324950551003","15518"
"2015","2","pandas","536","169872","0.315531694452","10491"
"2015","2","scikit-learn","100","169872","0.058867853442","2052"
"2015","2","scipy","129","169872","0.07593953094","4641"
"2015","3","numpy","646","191537","0.337271649863","16164"
"2015","3","pandas","674","191537","0.351890235307","11165"
"2015","3","scikit-learn","122","191537","0.063695265144","2174"
"2015","3","scipy","147","191537","0.076747573575","4788"
"2015","4","numpy","593","191523","0.309623387269","16757"
"2015","4","pandas","707","191523","0.369146264417","11872"
"2015","4","scikit-learn","149","191523","0.077797444693","2323"
"2015","4","scipy","150","191523","0.078319575194","4938"
"2015","5","keras","4","187350","0.002135041366","6"
"2015","5","numpy","625","187350","0.333600213504","17382"
"2015","5","pandas","670","187350","0.357619428876","12542"
"2015","5","scikit-learn","161","187350","0.085935414998","2484"
"2015","5","scipy","156","187350","0.08326661329","5094"
"2015","6","keras","1","189483","0.000527751829","7"
"2015","6","numpy","600","189483","0.316651097987","17982"
"2015","6","pandas","770","189483","0.406368909084","13312"
"2015","6","scikit-learn","147","189483","0.077579519006","2631"
"2015","6","scipy","173","189483","0.091301066586","5267"
"2015","7","keras","3","197006","0.00152279626","10"
"2015","7","numpy","650","197006","0.329939189669","18632"
"2015","7","pandas","861","197006","0.437042526623","14173"
"2015","7","scikit-learn","161","197006","0.081723399287","2792"
"2015","7","scipy","174","197006","0.08832218308","5441"
"2015","8","keras","7","182827","0.003828756146","17"
"2015","8","numpy","560","182827","0.306300491721","19192"
"2015","8","pandas","755","182827","0.41295869866","14928"
"2015","8","scikit-learn","156","182827","0.085326565551","2948"
"2015","8","scipy","144","182827","0.078762983585","5585"
"2015","9","keras","3","179219","0.001673929661","20"
"2015","9","numpy","533","179219","0.297401503188","19725"
"2015","9","pandas","803","179219","0.448055172721","15731"
"2015","9","scikit-learn","124","179219","0.069189092674","3072"
"2015","9","scipy","147","179219","0.082022553412","5732"
"2015","10","keras","3","187971","0.00159599087","23"
"2015","10","numpy","601","187971","0.319730171143","20326"
"2015","10","pandas","946","187971","0.5032691213","16677"
"2015","10","scikit-learn","148","187971","0.078735549632","3220"
"2015","10","scipy","149","187971","0.079267546589","5881"
"2015","11","keras","10","179656","0.005566193169","33"
"2015","11","numpy","666","179656","0.370708465066","20992"
"2015","11","pandas","893","179656","0.497061050006","17570"
"2015","11","scikit-learn","180","179656","0.100191477045","3400"
"2015","11","scipy","169","179656","0.094068664558","6050"
"2015","11","tensorflow","199","179656","0.110767244066","202"
"2015","12","keras","12","173917","0.006899843028","45"
"2015","12","numpy","584","173917","0.335792360723","21576"
"2015","12","pandas","892","173917","0.51288833179","18462"
"2015","12","scikit-learn","174","173917","0.100047723914","3574"
"2015","12","scipy","137","173917","0.078773207909","6187"
"2015","12","tensorflow","183","173917","0.105222606185","385"
"2016","1","keras","27","182648","0.014782532521","72"
"2016","1","numpy","685","182648","0.375038325084","22261"
"2016","1","pandas","914","182648","0.500416100915","19376"
"2016","1","pytorch","1","182648","0.000547501204","1"
"2016","1","scikit-learn","182","182648","0.099645219219","3756"
"2016","1","scipy","145","182648","0.079387674652","6332"
"2016","1","tensorflow","169","182648","0.09252770356","554"
"2016","2","keras","18","189964","0.009475479564","90"
"2016","2","numpy","752","189964","0.395864479585","23013"
"2016","2","pandas","1038","189964","0.546419321555","20414"
"2016","2","scikit-learn","193","189964","0.101598197553","3949"
"2016","2","scipy","170","189964","0.089490640331","6502"
"2016","2","tensorflow","229","189964","0.120549156682","783"
"2016","3","keras","37","203347","0.018195498335","127"
"2016","3","numpy","807","203347","0.3968585718","23820"
"2016","3","pandas","1116","203347","0.548815571412","21530"
"2016","3","scikit-learn","207","203347","0.101796436632","4156"
"2016","3","scipy","196","203347","0.096386964154","6698"
"2016","3","tensorflow","241","203347","0.118516624292","1024"
"2016","4","keras","53","198410","0.026712363288","180"
"2016","4","numpy","820","198410","0.413285620684","24640"
"2016","4","pandas","1194","198410","0.601784184264","22724"
"2016","4","scikit-learn","212","198410","0.106849453152","4368"
"2016","4","scipy","180","198410","0.090721233808","6878"
"2016","4","tensorflow","272","198410","0.137089864422","1296"
"2016","5","keras","63","191057","0.03297445265","243"
"2016","5","numpy","690","191057","0.361148767121","25330"
"2016","5","pandas","1279","191057","0.669433729201","24003"
"2016","5","scikit-learn","222","191057","0.116195690291","4590"
"2016","5","scipy","185","191057","0.096829741909","7063"
"2016","5","tensorflow","333","191057","0.174293535437","1629"
"2016","6","keras","59","185823","0.03175064443","302"
"2016","6","numpy","769","185823","0.413834670627","26099"
"2016","6","pandas","1284","185823","0.690980126249","25287"
"2016","6","scikit-learn","219","185823","0.117854086953","4809"
"2016","6","scipy","156","185823","0.08395085646","7219"
"2016","6","tensorflow","494","185823","0.26584437879","2123"
"2016","7","keras","59","178189","0.033110910325","361"
"2016","7","numpy","789","178189","0.44278827537","26888"
"2016","7","pandas","1469","178189","0.824405546919","26756"
"2016","7","pytorch","1","178189","0.000561201869","2"
"2016","7","scikit-learn","223","178189","0.125148016993","5032"
"2016","7","scipy","157","178189","0.088108693578","7376"
"2016","7","tensorflow","481","178189","0.269938099433","2604"
"2016","8","keras","66","183112","0.036043514351","427"
"2016","8","numpy","758","183112","0.413954301192","27646"
"2016","8","pandas","1369","183112","0.747629865874","28125"
"2016","8","scikit-learn","225","183112","0.122875617108","5257"
"2016","8","scipy","156","183112","0.085193761195","7532"
"2016","8","tensorflow","502","183112","0.274149154615","3106"
"2016","9","keras","83","172890","0.048007403551","510"
"2016","9","numpy","763","172890","0.441321071201","28409"
"2016","9","pandas","1314","172890","0.760020822488","29439"
"2016","9","scikit-learn","182","172890","0.105269246341","5439"
"2016","9","scipy","157","172890","0.09080918503","7689"
"2016","9","tensorflow","444","172890","0.256810688877","3550"
"2016","10","keras","121","176588","0.068521077309","631"
"2016","10","numpy","794","176588","0.449634176727","29203"
"2016","10","pandas","1347","176588","0.76279248873","30786"
"2016","10","scikit-learn","218","176588","0.123451197136","5657"
"2016","10","scipy","181","176588","0.102498471017","7870"
"2016","10","tensorflow","562","176588","0.318254921059","4112"
"2016","11","keras","153","176512","0.086679659173","784"
"2016","11","numpy","836","176512","0.473622189992","30039"
"2016","11","pandas","1502","176512","0.85093364757","32288"
"2016","11","scikit-learn","253","176512","0.143333031182","5910"
"2016","11","scipy","186","176512","0.105375271936","8056"
"2016","11","tensorflow","691","176512","0.39147480058","4803"
"2016","12","keras","128","163507","0.07828411016","912"
"2016","12","numpy","747","163507","0.456861174139","30786"
"2016","12","pandas","1415","163507","0.865406374039","33703"
