TagName,Count
"javascript","2379048"
"python","1956213"
"java","1847063"
"c#","1539537"
"php","1436839"
"android","1375117"
"html","1129492"
"jquery","1026508"
"c++","765733"
"css","759549"
"ios","670427"
"mysql","646017"
"sql","631680"
"r","450169"
"node.js","430172"
"arrays","391126"
"reactjs","388856"
"c","380052"
"asp.net","368394"
"json","339870"
"ruby-on-rails","332332"
".net","319123"
"sql-server","318889"
"python-3.x","314314"
"swift","313335"
"objective-c","292401"
"django","290815"
"angular","277778"
"excel","263254"
"angularjs","262482"
"regex","249857"
"pandas","245673"
"ruby","224235"
"iphone","221428"
"ajax","219629"
"linux","216044"
"xml","208280"
"vba","199470"
"asp.net-mvc","197885"
"spring","196546"
"laravel","192387"
"database","186810"
"wordpress","183851"
"typescript","183562"
"string","175044"
"wpf","165511"
"mongodb","162325"
"windows","157684"
"xcode","154997"
"postgresql","154632"
"bash","145140"
"oracle","142525"
"git","141695"
"vb.net","137171"
"amazon-web-services","136051"
"multithreading","134649"
"list","130062"
"flutter","127593"
"firebase","127307"
"eclipse","123713"
"spring-boot","122368"
"dataframe","120394"
"azure","118700"
"react-native","116824"
"docker","114880"
"algorithm","114308"
"macos","111790"
"forms","110120"
"image","109622"
"visual-studio","109037"
"scala","108611"
"powershell","103435"
"function","102924"
"numpy","102318"
"twitter-bootstrap","102235"
